ID,GSM429956,GSM429961,GSM429980,GSM429981,
267615_at,0.3,0.2,0.3,0.2,
267616_at,55.4,54.4,49.5,46.4,
267617_at,501.7,480.1,356.9,420.7,
267618_at,46.2,42.8,36.8,30.8,
267619_at,107.8,104.6,71,46.8,
267620_at,5.1,4.5,7.1,6.3,
267621_at,6.2,9,7.7,8.3,
267622_at,17.5,18.7,18,16,
267623_at,40.3,48.3,83.3,91.8,
267624_at,116.1,124.4,348.3,359.6,
267590_at,95.4,84.7,92.5,81.7,
267591_at,20.6,22.5,24,19.6,
267592_at,30.2,26.7,95.9,84.6,
267562_at,209.1,198.9,267.9,240.9,
267563_at,0.2,3,2.8,0.5,
267564_at,87.3,88.9,75.2,57.3,
267565_at,9.3,10.3,89.8,63.2,
267566_at,0.6,0.3,4.4,1,
267567_at,1.8,3.7,525,671.5,
267568_at,18.6,21.9,19,14.2,
267569_at,16.2,17.6,12.4,16.4,
267570_at,41.9,41.5,43,34.4,
267571_at,4.2,3.4,3,6.7,
267572_at,14.6,11.8,11.8,22.4,
267573_at,11,9.6,9.5,12.1,
267574_at,3.5,6.8,2.6,5.8,
267575_at,4.7,5.3,3.6,5.1,
267576_at,9.9,9.5,13.9,16.2,
267577_at,104,107.4,119.9,103.1,
267578_at,107.5,99.9,112.1,105,
267579_at,1.4,0.7,0.6,10.2,
267580_at,33.9,37.8,16.8,27.7,
267581_at,63.8,65.5,44.5,45.3,
267582_at,22.6,20.8,7.7,2.4,
267583_at,90.5,81.9,107,97.2,
267584_at,4.3,1.3,3.6,0.8,
267585_s_at,6.3,1.6,0.6,1.2,
267586_at,264.4,276.7,196.7,160.8,
267587_at,41.7,57.2,60.4,42.6,
267588_at,10.7,4.1,1.9,7.8,
267589_at,0.3,1.8,1.1,0.4,
267530_at,62.1,63.2,57,43,
267531_at,2.5,3.8,3.5,3.7,
267532_at,56.4,55.1,49.1,38.4,
267533_at,166.6,166.9,140.7,112.8,
267534_at,62.2,57.9,89.6,78.7,
267535_at,75.3,80.8,47.1,57.6,
267536_at,60.5,51.2,71.1,71.8,
267537_at,77.3,77.5,107.5,82.8,
267538_at,18.9,15,12.5,5.1,
267539_at,83.5,99,73,54.3,
267540_at,38.1,42.2,37,32,
267541_at,3.3,1.9,6.4,0.7,
267542_at,0.1,1.1,0.5,0.4,
267543_at,222.6,225.7,232.5,241.7,
267544_at,117.7,119.8,95.3,141.8,
267545_at,32.4,29.4,25.9,27,
267546_at,5.5,4.3,34.6,41.6,
267547_at,6.1,10,12.6,13.7,
267548_at,4.5,3.9,25,22.6,
267549_at,58.2,58.2,51.4,45.8,
267550_at,28.4,31,49.9,31.7,
267551_at,3.5,4,3.7,2.4,
267552_at,2.8,3,7.4,7,
267553_s_at,368.3,382.3,323,427.9,
267554_at,0.8,0.6,2.8,2.5,
